image,rows,cols,bytes,ms_h2d,ms_kernel,ms_d2h,total_ms
000000000139.jpg,426,640,817920,0.448288,0.581184,1.16054,2.19002
000000001268.jpg,427,640,819840,0.38704,0.238848,1.09818,1.72406
000000003501.jpg,612,612,1123632,0.466656,0.25808,1.50954,2.23427
000000005529.jpg,640,444,852480,0.461664,0.265376,1.36627,2.09331
000000007108.jpg,426,640,817920,0.462176,0.356768,1.09894,1.91789
000000012062.jpg,427,640,819840,0.541088,0.297472,1.19722,2.03578
000000015079.jpg,424,640,814080,0.442816,0.319584,1.08032,1.84272
000000015660.jpg,348,640,668160,0.380768,0.246496,1.02365,1.65091
000000016598.jpg,640,478,917760,0.450496,0.3056,1.22291,1.97901
000000017899.jpg,640,480,921600,0.395872,0.30224,1.19034,1.88845
000000018193.jpg,480,640,921600,0.47968,0.26896,1.18502,1.93366
000000018380.jpg,426,640,817920,0.409248,0.261088,1.0433,1.71363
000000020107.jpg,500,333,499500,0.339776,0.214144,0.729536,1.28346
000000025386.jpg,640,427,819840,0.44208,0.309824,1.01706,1.76896
000000027620.jpg,480,640,921600,0.53072,0.301312,1.85712,2.68915
000000030828.jpg,427,640,819840,0.374048,0.261184,1.12554,1.76077
000000035197.jpg,640,429,823680,0.38768,0.314624,1.04794,1.75024
000000037670.jpg,480,640,921600,0.38784,0.202368,1.3433,1.9335
000000042888.jpg,374,500,561000,0.297888,0.170112,0.600768,1.06877
000000043435.jpg,640,638,1224960,0.480832,0.241248,1.06614,1.78822
000000044279.jpg,425,640,816000,0.356064,0.224576,0.801632,1.38227
000000048504.jpg,427,640,819840,0.352768,0.22944,1.08563,1.66784
000000049269.jpg,640,431,827520,0.336352,0.238944,0.863744,1.43904
000000054164.jpg,427,640,819840,0.370176,0.211136,0.916352,1.49766
000000058636.jpg,640,634,1217280,0.48448,0.212032,1.13155,1.82806
000000066771.jpg,480,640,921600,0.381664,0.165088,0.88224,1.42899
000000068387.jpg,480,640,921600,0.366336,0.222112,0.90096,1.48941
000000072852.jpg,640,424,814080,0.420448,0.288448,1.01706,1.72595
000000073326.jpg,480,640,921600,0.4816,0.300672,1.30109,2.08336
000000078565.jpg,499,640,958080,0.45536,0.288288,1.36224,2.10589
000000081738.jpg,480,640,921600,0.611168,0.374176,1.64115,2.6265
000000084431.jpg,640,361,693120,0.356928,0.330464,1.26854,1.95594
