image,rows,cols,bytes,ms_h2d,ms_kernel,ms_d2h,total_ms
000000000139.jpg,426,640,817920,0.587136,2.64061,2.3624,5.59014
000000001268.jpg,427,640,819840,0.496896,0.341088,1.48944,2.32742
000000003501.jpg,612,612,1123632,0.739168,0.42896,1.89526,3.06339
000000005529.jpg,640,444,852480,0.486432,0.24736,1.01725,1.75104
000000007108.jpg,426,640,817920,0.424864,0.322304,0.88976,1.63693
000000012062.jpg,427,640,819840,0.408736,0.345056,0.995616,1.74941
000000015079.jpg,424,640,814080,0.343392,0.350432,0.909856,1.60368
000000015660.jpg,348,640,668160,0.32336,0.259904,0.755904,1.33917
000000016598.jpg,640,478,917760,0.508736,0.398624,1.02653,1.93389
000000017899.jpg,640,480,921600,0.488608,0.368704,1.04573,1.90304
000000018193.jpg,480,640,921600,0.377248,0.3256,1.00058,1.70342
000000018380.jpg,426,640,817920,0.443808,0.346048,0.859168,1.64902
000000020107.jpg,500,333,499500,0.300512,0.264256,0.65968,1.22445
000000025386.jpg,640,427,819840,0.35808,0.237984,0.802496,1.39856
000000027620.jpg,480,640,921600,0.493856,0.25424,0.94384,1.69194
000000030828.jpg,427,640,819840,0.4552,0.313664,1.08253,1.85139
000000035197.jpg,640,429,823680,0.378528,0.234368,0.997792,1.61069
000000037670.jpg,480,640,921600,0.383712,0.27952,1.24323,1.90646
000000042888.jpg,374,500,561000,0.313536,0.25392,0.749568,1.31702
000000043435.jpg,640,638,1224960,0.581664,0.316448,1.2536,2.15171
000000044279.jpg,425,640,816000,0.351584,0.323712,0.87424,1.54954
000000048504.jpg,427,640,819840,0.403264,0.331968,1.02867,1.7639
000000049269.jpg,640,431,827520,0.721056,0.329376,1.3241,2.37453
000000054164.jpg,427,640,819840,0.37456,0.291584,1.14294,1.80909
000000058636.jpg,640,634,1217280,0.727232,0.310912,1.56138,2.59952
000000066771.jpg,480,640,921600,0.45872,0.269568,1.31005,2.03834
000000068387.jpg,480,640,921600,0.378304,0.202016,0.769056,1.34938
000000072852.jpg,640,424,814080,0.360896,0.180544,0.693312,1.23475
000000073326.jpg,480,640,921600,0.388416,0.18864,0.765024,1.34208
000000078565.jpg,499,640,958080,0.402112,0.239904,0.924288,1.5663
000000081738.jpg,480,640,921600,0.460128,0.204352,0.776576,1.44106
000000084431.jpg,640,361,693120,0.31264,0.208128,0.779264,1.30003
000000084492.jpg,640,426,817920,0.390272,0.228288,0.818816,1.43738
000000087244.jpg,500,375,562500,0.274976,0.179168,0.644192,1.09834
000000094614.jpg,427,640,819840,0.377024,0.203296,0.844192,1.42451
000000104198.jpg,375,500,562500,0.240928,0.18256,0.67456,1.09805
000000106563.jpg,612,612,1123632,0.490304,0.27376,1.01306,1.77712
000000111086.jpg,336,500,504000,0.27344,0.188064,0.57184,1.03334
000000112634.jpg,443,640,850560,0.354656,0.162336,0.637792,1.15478
000000114871.jpg,427,640,819840,0.40928,0.18272,0.76256,1.35456
000000114907.jpg,425,640,816000,0.403008,0.234976,0.79712,1.4351
000000116208.jpg,480,640,921600,0.443328,0.264832,0.952192,1.66035
000000117908.jpg,320,500,480000,0.238912,0.17392,0.530848,0.94368
000000119038.jpg,480,640,921600,0.41504,0.20384,0.838208,1.45709
000000119365.jpg,640,480,921600,0.41424,0.278112,0.943648,1.636
000000124636.jpg,480,640,921600,0.43088,0.179744,0.785312,1.39594
000000125062.jpg,640,427,819840,0.415648,0.23344,1.08246,1.73155
000000125472.jpg,640,427,819840,0.353344,0.262944,1.16707,1.78336
000000126137.jpg,427,640,819840,0.416416,0.394272,0.949024,1.75971
000000128748.jpg,640,491,942720,0.373408,0.2288,0.837088,1.4393
000000132116.jpg,612,612,1123632,0.473472,0.279456,1.08883,1.84176
000000133819.jpg,425,640,816000,0.371616,0.29808,0.884992,1.55469
000000135890.jpg,640,428,821760,0.387744,0.298144,1.19482,1.8807
000000138492.jpg,640,427,819840,0.41808,0.28784,0.992064,1.69798
000000140556.jpg,457,640,877440,0.43264,0.32512,1.13139,1.88915
000000151000.jpg,426,640,817920,0.433728,0.315008,1.02848,1.77722
000000152214.jpg,640,480,921600,0.480064,0.341696,1.39946,2.22122
000000153217.jpg,500,375,562500,0.312256,0.268224,0.804928,1.38541
000000154705.jpg,464,640,890880,0.428352,0.292576,1.11664,1.83757
000000156292.jpg,640,428,821760,0.381344,0.255488,1.10742,1.74426
000000156643.jpg,480,640,921600,0.558976,0.319488,1.3816,2.26006
000000158548.jpg,482,640,925440,0.39472,0.215936,0.962464,1.57312
000000158956.jpg,425,640,816000,0.356416,0.260288,0.745664,1.36237
000000161032.jpg,480,640,921600,0.380384,0.202592,0.746016,1.32899
000000161781.jpg,428,640,821760,0.364288,0.191552,0.884128,1.43997
000000162092.jpg,640,640,1228800,0.473024,0.225632,1.09709,1.79574
000000165713.jpg,640,425,816000,0.692544,0.192896,0.767456,1.6529
000000167486.jpg,480,640,921600,0.457984,0.22336,0.97776,1.6591
000000169356.jpg,480,640,921600,0.370304,0.233664,0.873216,1.47718
000000171382.jpg,426,640,817920,0.452864,0.205088,0.883552,1.5415
000000175364.jpg,461,614,849162,0.367584,0.24032,0.908896,1.5168
000000176799.jpg,426,640,817920,0.354048,0.21488,0.71712,1.28605
000000178744.jpg,428,640,821760,0.362112,0.21744,0.875584,1.45514
000000179214.jpg,640,428,821760,0.50144,0.334784,1.3999,2.23613
000000181421.jpg,446,640,856320,0.424608,0.2296,0.943008,1.59722
000000186624.jpg,553,640,1061760,0.457856,0.211744,1.4033,2.0729
000000190236.jpg,393,640,754560,0.332032,0.2096,0.719808,1.26144
000000190756.jpg,480,640,921600,0.390432,0.205952,0.841888,1.43827
000000191761.jpg,375,500,562500,0.260224,0.16624,0.5712,0.997664
000000192699.jpg,457,640,877440,0.373568,0.191776,0.850112,1.41546
000000194716.jpg,427,640,819840,0.347296,0.162432,0.965088,1.47482
000000199442.jpg,433,640,831360,0.4016,0.276736,0.865312,1.54365
000000204871.jpg,612,612,1123632,0.55072,0.29888,1.51392,2.36352
000000212226.jpg,335,500,502500,0.280288,0.182656,0.665568,1.12851
000000213547.jpg,640,480,921600,0.36736,0.180416,0.79088,1.33866
000000215259.jpg,500,336,504000,0.242976,0.139104,0.825632,1.20771
000000216277.jpg,480,640,921600,0.416032,0.2064,1.0825,1.70493
000000222118.jpg,427,640,819840,0.369696,0.2096,0.817984,1.39728
000000226058.jpg,480,640,921600,0.461952,0.421312,1.28893,2.17219
000000228942.jpg,319,640,612480,0.28912,0.18688,0.649824,1.12582
000000229111.jpg,500,375,562500,0.27536,0.195968,0.54576,1.01709
000000229221.jpg,427,640,819840,0.443712,0.231264,0.878528,1.5535
000000231527.jpg,640,427,819840,0.362688,0.196768,0.800224,1.35968
000000234660.jpg,480,640,921600,0.408704,0.254176,0.856864,1.51974
000000234779.jpg,427,640,819840,0.35792,0.2152,0.84064,1.41376
000000239537.jpg,436,640,837120,0.34096,0.2296,0.806144,1.3767
000000241319.jpg,476,640,913920,0.47504,0.306784,1.1433,1.92512
